Protein,CRC01-N,CRC01-T,CRC02-N,CRC02-T,CRC03-N,CRC03-T,CRC04-N,CRC04-T,CRC05-N,CRC05-T,CRC06-N,CRC06-T,CRC07-N,CRC07-T,CRC08-N,CRC08-T,CRC09-N,CRC09-T,CRC10-N,CRC10-T,CRC11-N,CRC11-T,CRC12-N,CRC12-T,CRC13-N,CRC13-T,CRC14-N,CRC14-T,CRC15-N,CRC15-T,CRC16-N,CRC16-T
A1BG,23.746746247790405,24.697958616772492,25.429330119942648,24.66623969777616,25.569628294062163,25.553254545504334,26.960724859417077,26.10689461344407,27.04623109280726,26.707099443661697,28.055965852069114,26.878111018690056,27.28785034428989,25.908821044100012,25.77033174266473,25.66793721413332,25.89218508131216,25.18158188858292,25.94085618902203,26.122966372111414,26.72885115615292,24.317352360417384,27.296670131695432,25.87732696971289,26.461320517867843,24.162698907892192,26.488492072083204,28.263755224644314,26.491396472896987,26.104878136148127,25.734424487652692,25.989675856005032
A2M,28.790228118862956,28.912135784491408,29.537184186336322,29.01414985420534,29.811308839013403,28.70406676700296,31.105344984974394,29.880086388751163,29.84762326840127,29.217972810568767,31.33979577670067,31.454319114240548,31.724243707527858,30.78671702281325,29.68221400458419,29.153387588709023,30.570308610441366,29.728555336284053,31.028654704372077,30.391562496111817,30.657838658469736,29.021698627430354,30.849579311092693,29.149582074928293,30.63588737312375,29.71125743591586,29.90204739367885,29.738483442173184,31.256838663523432,29.762386227989392,29.623891200554006,29.475163657946034
AARS1,25.853998557948717,26.135071281905347,25.91026208717407,26.65985649098609,25.80278117304162,27.48977572793948,26.495924982292173,26.718323196173884,26.023472994785553,26.98236239764533,26.14488879702523,26.778985505354658,26.744683303944058,26.460511229133854,25.609670727660426,26.131793048539876,25.279724588244605,26.334800586512852,25.115907171066212,26.548288091474028,25.637275699157172,26.255508121938906,25.55366591158413,27.666416427004744,25.269606527504905,26.521199381407186,25.688555526811214,27.164880814661423,26.134516992586413,27.52174789530952,25.915610069545046,26.610074650582902
ABCE1,26.42135293304544,26.030172574284354,26.320221512964363,26.78351539868693,25.847323586532724,28.50513336282413,26.313026787214373,28.029426411622236,26.39673750523566,28.12385693450803,26.568744668900003,28.860282837313918,26.716076258765714,27.47926623679,25.790890807650914,26.4695705937086,25.886834260853046,26.809389021580273,25.455198739441194,27.788427327085486,25.16981963885611,27.169464019688736,26.459010878055828,27.977147122305134,24.88315741653294,27.077896419859044,26.079847823722144,26.981599204014433,27.06397877243777,27.757295324789332,25.773613238301188,27.956222246580708
ABCF1,20.715749840847664,22.70588811410361,22.136990530141674,22.733457754919645,22.273859575428393,23.804611290212257,21.756997638660604,23.38870740017762,22.267721186902182,23.341574694800574,21.913646778723777,22.540770598344398,22.98368416311389,23.03108183078977,21.50193703460016,21.146771040043408,21.379171409146345,22.85455699587069,21.832949263763954,23.2175381015647,20.991171123903676,21.886944396885447,21.156182910311806,22.845958931020604,20.457212984208727,21.890590374430214,21.8903686773873,23.393473700585933,21.75653288646104,23.10598287068028,21.74260618978352,22.36614748403916
ABHD10,24.091229262411648,23.852767588742115,23.588075235360623,24.85018837241805,23.63238529499469,25.225323697865825,24.301688880715332,23.99602383411453,24.67099171034413,25.16584420141747,24.620171754464003,25.182741616026508,23.32838017097939,23.261893411669952,23.089678539761355,22.830101128633682,22.487142107893174,22.503704562993317,22.71935416122868,24.02029426918527,22.856420702815694,22.897192023866378,23.452228757613558,25.02829701447374,22.23014556713733,23.342192890994355,23.614886044998922,24.110898132081243,24.292829421729902,25.34492007701299,23.621019278081363,24.506303218052203
ABHD11,24.91506106595225,23.362723676172564,25.12644350951302,25.863662229530554,24.865025484079357,26.095775396773934,25.002529521552276,25.085469669538593,23.458585034073863,25.844885819116513,22.93031524485703,23.412594612501078,24.570643529679987,25.06436646643719,23.240731375853407,24.623208496106965,23.296671213314855,24.97012807283234,23.32888581819336,24.314621742546436,23.49672092712308,24.20166098853849,23.317060670844903,26.970850587532166,23.753904994267405,25.278249454303374,23.139880892135018,24.254981278504737,23.788241143967774,26.851889748436065,23.86618450948936,25.587937182982323
ABHD14B,26.44872815181968,25.713306370516896,26.420011128599644,26.49919682466999,25.58220247971388,26.250381152507284,25.629310363635053,26.632714337782758,25.156075685237216,27.50172597394242,24.481249233875428,26.765475783667288,24.27108156633226,26.334336859305655,24.602013282436005,24.413148429077722,25.802566927557915,24.976340547822012,26.02769575159048,26.331179386485378,25.813820563465935,25.060227287118646,24.383626419249246,27.61320989679576,24.918160249415497,26.72727548659934,25.03909972886901,27.136015452639562,25.988860372906068,28.00965087773704,24.82595283053441,26.48357574904793
ABI1,19.241869974776485,17.72876841768248,19.948398187605793,22.91670496436458,23.444654878479046,23.229979288732622,23.642939112856098,22.717091503634457,23.606798276312706,24.275659100589532,22.64796565142958,21.746065645059343,21.26558984266145,22.161793085331023,22.73933842316103,22.552013421064053,22.6420649300761,23.88568569219482,21.243773219648006,24.307009749367175,22.764582084276576,23.498128932968488,23.10684920841926,25.20909268289425,17.716537180039456,18.675292990486668,22.641808871189564,24.926104811562002,24.009731343713185,25.223836987884482,22.923750097557498,23.01903505004086
ABI3BP,23.202001472978516,23.721767500372806,23.974998953819654,23.883793579771094,24.84336413723832,24.792452302500852,22.53884704737052,23.570027306526953,24.136261525683405,24.402560285433196,23.81145618088708,23.7151311147224,23.573090676312336,22.947936497935313,23.642015812987964,22.921682043496922,23.45238987006984,23.668192654809626,24.243439426197572,22.753001077729973,22.44843065441756,23.486181926234874,23.16727021363704,24.68029616042935,22.08164645086006,23.69215659336541,22.15296420000836,23.726298624619318,25.70568254088455,24.590874053229893,24.30794655928104,23.852067803887365
