Protein,CRC01-N,CRC01-T,CRC02-N,CRC02-T,CRC03-N,CRC03-T,CRC04-N,CRC04-T,CRC05-N,CRC05-T,CRC06-N,CRC06-T,CRC07-N,CRC07-T,CRC08-N,CRC08-T,CRC09-N,CRC09-T,CRC10-N,CRC10-T,CRC11-N,CRC11-T,CRC12-N,CRC12-T,CRC13-N,CRC13-T,CRC14-N,CRC14-T,CRC15-N,CRC15-T,CRC16-N,CRC16-T
A1BG,14076118.685176658,27216130.288319193,45184672.17715287,26624289.64210853,49799512.85878814,49237512.60901813,130613145.20551446,72270052.84566566,138588383.31648612,109556469.80897199,279053374.5857542,123343890.6803886,163855668.74722874,62998801.37304316,57232517.89709118,53311269.9642013,62276523.79667728,38054979.00989539,64413341.04678249,73079649.15963581,111220782.85477006,20905110.891561475,164860453.96080342,61638438.12802787,92395581.00556006,18780067.438724585,94152239.28848779,322283530.6371402,94341975.35535866,72169110.42966041,55825637.59541264,66630337.06323631
A2M,464218288.19832337,505149712.1396002,779073491.6807839,542162412.0719781,942102530.9974633,437305655.9739254,2310158968.5800977,988103132.3662269,966117398.0912403,624433549.1123685,2717806836.61786,2942344679.4404693,3547716809.5015583,1852359563.4551904,861463245.8533142,597095969.2110839,1594336058.3676293,889583837.8984785,2190563218.0530047,1408548892.2929134,1694060976.6337206,545006663.2304976,1934856346.1264555,595523036.1587336,1668480145.764092,878981424.2421126,1003259306.979782,895726744.770172,2565937107.337116,910690900.4484922,827332032.6156694,746291316.063903
AARS1,60649758.20644233,73695402.41507016,63061759.475022346,106027002.56979272,58534391.05203861,188472099.3891358,94638572.85557686,110412111.64478599,68209672.25737022,132586844.7513676,74198608.58301716,115153698.3389931,112448042.34438948,92343765.66557902,51201073.67201394,73528134.59689999,40733842.814389415,84637905.27695271,36361469.53932314,98136609.38755772,52190203.77568914,80111616.69214176,49251554.059163675,213020410.4039606,40449163.3784883,96311142.50856715,54078639.70867936,150467932.5856625,73667093.77938066,192695534.1002971,63295959.37863758,102430821.70991759
ABCE1,89871038.2278358,68527160.5725513,83786908.77872728,115515835.69168442,60369795.84428613,380978241.2677801,83370103.3095971,273966909.8061088,88350655.64823176,292499097.92826796,99538041.7559452,487316164.5124689,110240283.22437747,187104139.5664553,58053946.45118734,92925460.3064251,62045973.825138286,117606211.72717196,46002175.041055135,231819603.0177163,37745979.243300356,150946704.56425524,92247781.38137613,264216829.5169738,30944022.572540425,141663850.4603437,70927798.03127958,132516724.12821299,140303793.1707551,226870741.9056866,57362844.823413804,260412281.02074796
ABCF1,1722114.743091579,6841532.597078232,4612094.1396234995,6973530.254039517,5071072.871397925,14652172.854403164,3544123.971216925,10982532.250626177,5049542.273315742,10629531.64414439,3950617.60542542,6101661.004460317,8294273.3478236,8571295.416402144,2969805.5347218555,2321733.6426660973,2727544.6993678417,7584154.879885821,3735705.4173872448,9753834.762694951,2084357.2268165995,3878169.414086603,2336929.7091733743,7539089.827956831,1439576.458315179,3887982.715026626,3887385.2997572185,11018875.768025631,3542982.445054547,9028049.328755377,3508945.6948144776,5406065.211517796
ABHD10,17872390.313957702,15149507.826438865,12610089.988874704,30244896.175201368,13003397.626096305,39226456.97316935,20679369.743347947,16731040.509580174,26712130.489432096,37642110.98348721,25787556.73634497,38085582.252857,10532759.836921286,10058371.519920968,8926594.988605037,7456675.498442299,5879011.249786418,5946892.486967106,6905690.093756594,17014887.4119276,7593958.598192714,7811629.119292195,11476892.696564436,34219065.237724625,4919722.691178537,10634087.384538531,12846624.902902296,18117720.69160071,20552768.735710528,42616833.80382253,12901355.15454282,23830455.93100423
ABHD11,31635938.649067752,10786501.468552927,36627997.90883164,61057374.96996658,30557548.776141718,71715190.19481419,33613315.622972675,35602363.158030376,11527569.54828049,60267873.22705878,7993053.111385271,11165887.675022744,24917284.74655602,35085375.48391236,9911908.06695078,25841894.362046104,10303786.097516794,32866809.341167204,10536452.089233816,20865580.789944623,11836350.002050644,19294161.1897036,10450442.321978087,131533093.83328928,14146138.87885543,40692214.35973707,9242686.969194572,20020591.71743124,14486855.505898567,121122340.56748354,15291053.90829692,50435533.51726976
ABHD14B,91592628.16248226,55014415.760951325,89787490.9122509,94853444.23465341,50235450.53204407,79827425.7525092,51902847.83701041,104050909.72234902,37388096.457057744,190039750.11417592,23420186.585827626,114080406.25833696,20245270.26031112,84610704.38480967,25465015.903355863,22340349.637170248,58525699.1265499,33008644.227868795,68409613.89161721,84425728.44944566,58984009.69668296,34984857.68465275,21887842.51476925,205307330.19999754,31703971.71277953,111099377.06131485,34476254.884610385,147487296.20750433,66592684.92025093,270237168.80441105,29741062.04039505,93831939.42347251
ABI1,619983.3623348282,217215.6338529756,1011733.7086169648,7918001.798377515,11416799.034714157,9838311.398420984,13098870.803194333,6894868.01067117,12774808.034321252,20309608.594558388,6572294.29133521,3517369.9329007743,2521043.95708108,4692069.932409756,7002013.55109401,6149396.585318375,6545468.056304516,15499149.2499925,2483207.207952515,20755779.07736687,7125609.956194237,11847907.389183383,9033472.296497596,38787613.643031426,,,6544306.427209157,31879039.17007599,16890765.102449812,39186054.583900206,7956762.452268776,8500021.442856653
ABI3BP,9649357.630797386,13834503.188242951,16488981.513938976,15478835.247633357,30102169.614903513,29058407.455061577,6093531.05688781,12453322.008068848,18439056.812446788,22176990.830742687,14721855.507337946,13771010.72857716,12479793.064149804,8091279.892131912,13090490.434416952,7945364.876055593,11478174.446048154,13330177.4964769,19861061.91802989,7068639.215596489,5723358.927561632,11750199.58406021,9419834.052151209,26884963.188011374,4438517.487922682,13553448.084194444,4663443.474675323,13878022.01519621,54724462.39572943,25269154.432860013,20769261.160169765,15142161.280478118
ABLIM1,4504030.809692701,2490699.803221418,5313489.357348575,6849558.787813995,4956421.347058916,5666398.491405329,3168335.5965063046,3550465.513796875,4286846.187274431,6926785.665081826,4337685.776673824,7045644.228717153,6773156.264412498,4065498.569792413,4215906.813116168,3578133.5760261393,3808957.346459154,2705283.8727372624,2357324.2302798545,4764761.2053846605,3276419.240095946,3350044.681769277,2102531.3335013334,10957863.710854718,1771860.5873908668,3729754.3660719385,3300222.0551002333,3727917.789943248,4869517.643594015,13969626.440878732,2676617.842706078,7529028.760375401
ACAA1,20779210.160663404,3531684.728114286,31260047.38030663,31747224.841458987,8138394.271392435,70747787.77383262,74300861.89921698,42040492.404351175,24557106.762454517,90899193.09021151,56513089.312771894,33994686.290894836,35562362.631898254,15715930.808762236,1687729.746561958,20438321.385630466,16524861.673245816,25453510.75645648,701556.3670104146,41336559.2382779,2171330.9432263784,20995110.7111579,29565572.1226701,88687640.6182445,,25481626.304826576,7008698.234845524,45236835.64806219,901527.3996021083,128592056.98806964,8901900.235439861,54704998.1810732
ACAA2,150349936.77305585,84006282.9695465,131901335.94537474,328499246.58652055,268506243.2584249,370947567.41194695,437347984.96519375,240911375.10337463,308142280.2235806,324486425.0325177,366173518.11811423,831856859.6100502,341413658.6281322,404504085.11780906,91637508.8851926,98716708.36205886,89040327.27512361,319656558.99145997,112615236.51585777,246244318.46008253,158151490.22184733,264969154.24149096,267800182.29349697,488447506.11416924,87396525.89212048,200074952.44650394,223694663.0223071,579432384.6967118,605681938.28864,297519148.28106594,140796849.80870166,660542447.0243845
ACAD10,14551483.068085473,11229270.150353504,21259371.923148546,9363195.75473908,31636153.556663074,12626750.728575977,22118584.304913044,6930372.615839551,177734639.35723582,29440771.352833766,225234159.43523613,91760449.51220629,29367388.842387334,11721577.018288145,54556610.7401248,7439121.71870215,9494718.747081691,30972862.969928253,34017186.66757361,16815823.168644197,50369837.44143034,2481655.246251557,177761524.56781465,43705805.0476469,12522532.177763546,14057017.581914589,179561317.3959074,85603153.82273272,145665863.8812778,8193233.976017906,8083077.705396429,12549742.185989853
ACAD9,11492662.192199636,10914605.187123237,15447514.689498533,22074833.13565097,4920870.052908935,35448941.725264035,14889315.18836566,16550804.125995163,1055586917.5625198,255651432.81115988,12224235.675663313,31384830.199343197,23099695.138953038,21572511.215518817,4164803.10249938,7491288.15402704,3650654.82796402,4821677.59790579,4161380.673205806,18765457.72816219,4201014.194166921,10609662.524502363,4804877.2777705025,20467467.306182623,1385827.632722988,16092754.259322831,521042356.95925736,361714406.6107341,23961361.892975207,26435573.68086379,3022455.3351358566,23692523.62861061
ACADS,39226160.730895616,12458005.538963335,35489263.669133686,104966320.25136578,102814943.67566325,56253115.5019012,133675060.62762111,13022482.755414069,147398183.70877662,75247228.68593445,129301023.16064954,113615879.56547162,77072221.82410477,107889818.0119446,46784099.2030556,13022809.099242005,57695430.896299765,19754672.066747356,64837607.023503415,101988032.1898715,56155778.97536131,27491981.813192237,82752478.1747168,172304601.4518738,20006040.374938257,18548097.65158035,93388191.53789057,111758038.20658411,249948677.3840577,160834604.7141795,35003824.92321967,20085499.668778177
ACADSB,2171382.1359266764,2705969.052169441,11800100.58694618,11436871.592182154,8458508.421635017,16498787.645730635,4021250.417397119,3044347.730076535,8077565.226349286,33598816.085347235,19879352.833606385,42550186.244637094,14237681.113023974,10034245.90655289,555104.3053069711,1384266.931165842,5147843.654650341,,2538942.7908369377,6270775.5960421655,546025.7683608086,4503283.708748116,8438726.537419634,94612692.75086647,,2593130.416580625,3415468.228540153,8507775.067118954,36425959.84931521,31606251.980577633,1470481.7977387663,16847835.745155554
ACADVL,417862851.08117247,214261451.36285296,394811146.8450989,371622300.40872604,276691770.07221824,316324099.7040373,434177214.7673061,224189730.82394418,368533324.06390995,518407926.4405017,456987240.7340372,510447274.5577453,538333832.2969165,325904493.1174515,153170154.3935734,159756792.4986653,146451408.81201956,306822064.78198487,207309927.97761562,525531275.25043803,140125177.4554168,259479150.6724013,248945931.44725406,358516516.50762886,126988752.46365832,268920594.3319385,322948199.3255006,400904702.7415323,552485559.2285124,414929907.9403661,215798823.67682475,344273811.1797045
ACAT1,260657937.9668513,123556161.59334716,270660638.2172236,194459104.22701347,206794025.18178773,170742821.7589002,326540579.24864715,100484180.95351453,204925750.15443075,172565904.0565105,228700186.5149796,141784928.75849795,129545224.9744044,196162162.86879635,194860239.7619918,64977643.7637078,165435762.12523752,62458746.69445281,119752334.1643588,336107846.88711095,178999689.65405357,70201199.37362,96837083.13538882,435578631.5596361,119864839.30860764,241037385.15229335,205013401.18301037,286753615.5781309,323124122.5282059,347206713.8821861,163177286.05190435,505174060.56485903
ACLY,46223086.0568492,56494081.53353052,58369683.724312104,87680041.83168691,40493403.46797035,145339901.51443073,37684575.27581147,113538701.84215894,26279219.267349165,98006143.9737232,25327543.61000523,54278483.64725909,73804015.39003782,66879380.83355315,13861227.445647214,41117463.37856737,27311190.307711326,58796564.714908406,17004012.163031302,108067092.94456786,30660308.27861126,82341699.4358368,29436652.268259205,129239301.39136936,6522539.795715466,119019664.3376061,12033853.828055553,209312653.46867248,40219768.62190841,190530229.51081797,33630770.45177421,95005073.78788531
ACO1,92109296.73549008,81152237.95809951,92634947.44401349,63132474.52086571,84326004.5149605,72896622.06351951,76661396.94938558,57093380.39962778,103108536.2295137,284775492.95356524,125942450.96946666,153968653.64846998,86672367.12642136,102462762.66944095,55901972.71002296,26322790.266200535,78390107.46352075,89218948.06912021,77240179.7823879,169441040.59107572,70072901.34265886,35079736.01956627,69563970.9515937,144189138.68805072,42916871.50292024,66385576.07759144,131056655.3912107,171824094.80110228,117204152.05954543,210994143.7708041,121105171.70108697,213476561.6823334
ACO2,889978796.4403764,329291533.5623278,845255254.5842843,904319689.4175726,742025256.0972785,649058929.4552574,880339821.1116565,775355929.6800842,1176157595.52168,2345610143.7434897,866853834.5392427,975993312.0778736,918833610.8374348,666404735.4215474,363369479.6838351,352673679.2163804,454306451.370393,288292371.33468777,449732714.44885397,694572086.1631447,443327709.1249884,381157861.9736617,626423333.8396456,1658966305.6856458,312532743.8210006,546833654.6377542,788919584.5056835,1159330448.3750985,1099623565.0681903,1138677406.1624167,596151834.7814459,1250094464.9383407
ACOT13,24234807.229717847,12280164.56003957,20128554.54103674,44133847.549276754,15791791.871793555,21860211.192855824,22317350.727283467,40240363.15000693,14656983.95017801,32931295.03008083,13016877.143668456,18647904.139078196,7493539.915909846,23187132.020603698,5195406.762846539,2175089.3878527298,8232033.869409149,12801160.8881229,6902389.224349873,23725721.19013242,8513375.628576651,22362239.2311786,12133217.18867682,103349658.84967156,9074824.6720487,39781508.93543567,9344019.96526037,20539887.76388279,19238780.219549708,51724306.513790786,13906263.548861668,34886746.33968371
ACOT7,21761459.73064858,32286777.324881643,39620975.62042187,51225269.45601333,44979746.850554876,188061609.83470324,48387776.57132077,111206560.82810517,64583152.01743147,285454639.04432946,51366579.126735285,103722961.32925726,57631436.058029115,77619781.7548943,10880390.347052023,60000336.50807602,32953003.6068872,95317056.30361547,28864629.830316603,97762456.48725863,20234077.81414313,99735974.45838694,38635200.95791288,94502971.2367799,14929264.812674569,44018711.86327299,60787884.912703894,126893723.13984081,54574793.89408602,192437548.04884946,40120122.58416785,109844310.42573845
ACOX2,23360708.56187511,32203823.48269511,23515340.862582296,33286524.559344012,181605158.20073006,27113973.17358608,154253470.67382646,31558595.776725598,204517386.07521826,261682817.79125375,204161537.51922214,66711989.45857653,542470362.0401477,71348316.79815468,71940853.12200266,23737764.571843218,157060166.9519998,30689762.342679463,81876976.08231416,63924589.694693714,169213753.23126715,36364589.5499709,73144168.47537836,354646508.94997954,1347311.041955199,21482381.156057928,171892386.23275298,344221137.21664315,470926671.0805401,179665995.08889595,7798990.054137105,24041600.46069068
ACP1,24619472.819884025,44262051.76358858,24801273.492646895,49008754.312597014,27396121.40937816,69395567.77314164,11919029.466134645,60222117.82365778,40320796.23535574,86673140.5789694,46910019.216409445,90431456.65615538,28592582.66321354,39998680.21406126,15791052.750583928,30172171.922086973,4607548.828972597,13649662.63480006,9748959.481323514,54346222.68903938,20125332.123641104,51928135.22986384,43470519.29348107,103246309.6481744,14852218.020614156,28851044.32615079,40608652.3757783,94145649.81586228,54931047.948041566,125699196.00819999,19542399.715745762,71595843.52756345
