Protein,CRC01-N,CRC01-T
A1BG,44.0,41.0
A1CF,58.0,61.0
A2M,149.0,171.0
A2ML1,118.0,108.0
A3GALT2,16.0,20.0
A4GALT,34.0,33.0
A4GNT,32.0,28.0
AAAS,28.0,26.0
AACS,54.0,44.0
AADAC,53.0,49.0
AADACL2,32.0,30.0
AADACL3,35.0,41.0
AADACL4,34.0,26.0
AADAT,45.0,48.0
AAGAB,7.0,9.0
AAK1,54.0,64.0
AAMDC,21.0,17.0
AAMP,25.0,23.0
AANAT,18.0,18.0
AAR2,40.0,39.0
AARD,37.0,42.0
AARS1,90.0,96.0
AARS2,90.0,81.0
AARSD1,22.0,19.0
AASDH,72.0,78.0
AASDHPPT,29.0,34.0
AASS,87.0,71.0
AATF,54.0,47.0
AATK,86.0,83.0
ABAT,76.0,79.0
ABCA1,179.0,187.0
ABCA10,118.0,126.0
ABCA12,219.0,211.0
ABCA13,511.0,531.0
ABCA2,192.0,208.0
ABCA3,122.0,114.0
ABCA4,178.0,205.0
ABCA5,107.0,112.0
ABCA6,95.0,94.0
ABCA7,153.0,158.0
ABCA8,84.0,79.0
ABCA9,97.0,112.0
ABCB1,120.0,136.0
ABCB10,73.0,81.0
ABCB11,126.0,130.0
ABCB4,107.0,114.0
ABCB5,98.0,91.0
ABCB6,72.0,73.0
ABCB7,62.0,56.0
ABCB8,63.0,70.0
ABCB9,45.0,53.0
ABCC1,132.0,120.0
ABCC10,134.0,132.0
ABCC11,112.0,110.0
ABCC12,122.0,127.0
ABCC2,98.0,101.0
ABCC3,103.0,119.0
ABCC4,108.0,112.0
ABCC5,128.0,127.0
ABCC6,91.0,79.0
ABCC8,117.0,121.0
ABCC9,103.0,110.0
ABCD1,80.0,87.0
ABCD2,79.0,80.0
ABCD3,57.0,70.0
ABCD4,72.0,69.0
ABCE1,75.0,75.0
ABCF1,96.0,101.0
ABCF2,74.0,73.0
ABCF3,78.0,81.0
ABCG1,40.0,51.0
ABCG2,53.0,58.0
ABCG4,42.0,42.0
ABCG5,46.0,50.0
ABCG8,37.0,36.0
ABHD1,18.0,27.0
ABHD10,29.0,34.0
ABHD11,37.0,34.0
ABHD12,33.0,34.0
ABHD12B,70.0,64.0
ABHD13,32.0,37.0
ABHD14A,27.0,23.0
ABHD14B,12.0,14.0
ABHD15,34.0,38.0
