Protein,F_statistic,P_value,FDR,Significant
A1BG,4.248729712961556,0.034516569840483693,0.08381523589526149,False
A2M,4.98306543266013,0.021905346294667703,0.061555400782751755,False
AAR2,1.228392987912634,0.3205917095993055,0.42707327325274214,False
AARS1,5.103404310118335,0.020384518730586384,0.05880901106037219,False
ABCE1,15.690545861797263,0.00021043946605182385,0.005950908445060437,True
ABCF1,0.9082406707999734,0.42429798539354835,0.5350965346299771,False
ABHD10,0.3134303281222329,0.7356079191631498,0.7991335134754914,False
ABHD11,6.389351399964367,0.009836593690620182,0.03724567848278896,False
ABHD14B,2.5984557658406398,0.10741061898315153,0.1915046470936636,False
ABI3BP,0.4939021638387914,0.6198238170984847,0.7097316285997001,False
ABLIM1,0.8131366397828385,0.46208575851438827,0.5722743903099385,False
ABRAXAS2,5.409794860409434,0.0170241099620797,0.05238548437367224,False
ACAA1,0.18212313733305283,0.8353144490010369,0.8794026762810163,False
ACAA2,1.1969953432850475,0.32937466732863757,0.4356560135063211,False
ACAD10,0.23632888699433888,0.7924056142845398,0.8433702440741601,False
ACAD9,0.2087175281983973,0.8139420490594567,0.863412411015587,False
ACADM,0.43465834674312,0.6553868741617124,0.7390884789890285,False
ACADS,0.8205442560271086,0.459009277574962,0.5690492375707354,False
ACADSB,0.2957943267658305,0.7481810076324233,0.8074571840825284,False
ACADVL,0.4758219939209398,0.630439738059008,0.7189394460560612,False
ACAT1,0.3320916562894722,0.7225639104101519,0.7897298316322305,False
ACBD3,3.687673032441089,0.04982086177901615,0.11030704183778203,False
ACLY,8.811702007658111,0.0029458788597063286,0.018420835289401773,False
ACO1,0.4036384083574378,0.6749265344075626,0.7523881626080313,False
ACO2,0.30481773064424866,0.7417178591039454,0.8026928098030757,False
ACOT13,1.9999864413657893,0.16983886722158156,0.2671972037838121,False
ACOT7,10.23071205949344,0.0015758437275163874,0.013914762400283042,False
ACOX1,2.3893333132982653,0.12566283834240424,0.21438864267421703,False
ACOX2,4.767605379334627,0.02496094341939874,0.0667817336514213,False
ACP1,4.061033595172965,0.03894794081756508,0.09124073162111425,False
ACSF2,0.6548949708046136,0.5337300872024565,0.6344176132981832,False
ACSF3,1.9188777084890358,0.1811197411889791,0.2809871540390134,False
ACSL1,2.518209119396865,0.11403384780822413,0.20011910133823463,False
ACSL5,2.738956514707716,0.09683709138569264,0.17745442522104024,False
ACSL6,3.11217800497724,0.07403303093059285,0.14558960484062008,False
ACSS1,5.6239723443457,0.015047684480768491,0.04845048892472819,False
ACSS2,1.5092020782080955,0.25282034107266443,0.3622257947953154,False
ACTA2,10.145385647820232,0.0016339012938597411,0.01404948148988753,False
ACTB,0.664399551730401,0.5290876191500289,0.6307266495096929,False
ACTL6A,0.3971932194880537,0.6790687508458324,0.7543707555393285,False
ACTL6B,11.012804356674113,0.0011400342235131293,0.012171924481852892,False
ACTN1,7.3590049624227,0.005929751824181062,0.02703482770453162,False
ACTN2,6.275195762449407,0.010464684269335065,0.03855871477306799,False
ACTN4,0.8038457163300563,0.4659774917378103,0.5750492406798753,False
ACTR1A,0.279714274142529,0.7598574457799966,0.8169016043659829,False
ACTR1B,0.08990337306167452,0.9145082409933402,0.9371611974216155,False
ACTR2,8.632074377671822,0.0032009792425518376,0.01912028777502889,False
ACTR3,6.431156752339619,0.009617354700457739,0.03666411331198394,False
ACY1,5.255886029724537,0.01862643530299349,0.05540806453646799,False
ADAM10,2.233870761891089,0.14151994701677165,0.23384973144373977,False
ADAMTS18,1.084235276503441,0.36324310848939406,0.47289341746229974,False
ADAR,13.626866373961468,0.0004233468519444088,0.007947536699527809,True
ADD1,1.0984087356935361,0.358776369248823,0.4676233424164939,False
