Protein,Cluster
ABCE1,13
ADAR,6
ADH1B,30
ADRM1,15
AKAP12,19
AOC2,20
AOC3,16
APCS,20
ARFGEF2,19
ASPN,27
ATP2B4,24
BAG2,23
BGN,16
BMS1,8
BROX,15
CAD,4
CAV1,21
CAVIN1,25
CAVIN2,21
CAVIN3,18
CBX3,4
CDV3,1
CEACAM5,14
CEACAM6,3
CES1,18
CFL2,22
COL12A1,8
COL14A1,28
COL6A1,22
COL6A2,16
COL6A3,20
CSE1L,15
CYP2S1,5
DCN,24
DES,22
DMD,26
DNAJA1,13
DPT,24
EIF3H,15
EIF5A,1
EIF6,13
FBL,23
FHL1,19
FKBP10,3
FLNA,22
G3BP1,12
GAP43,26
GLIPR2,18
H1-5,5
HKDC1,15
HNRNPA1L3,13
HNRNPUL1,13
HPX,23
HSF1,17
HSP90AA1,6
HSP90AB1,4
HSPB6,28
HSPG2,22
ILF3,13
ILK,17
ITGA7,20
ITPRID2,25
KARS1,15
KIF3B,21
LAMTOR1,5
LCN2,13
LMOD1,19
LUM,23
MARCKSL1,13
MATN2,21
MCAM,22
MCM5,13
MUC13,11
MYBBP1A,15
MYH10,21
MYH11,24
MYL9,25
MYLK,23
NAMPT,4
NCL,5
NEBL,14
NIBAN1,20
NOLC1,7
NSFL1C,5
NUDC,13
OGN,26
PABPC1,13
PAICS,11
PCBP2,2
PCNP,20
PCYT1A,15
PDK2,20
PGM5,17
PKM,9
PMP2,28
PPP1R12B,27
PRELP,26
PRMT1,14
PRPH,24
PSMA7,12
PSMC5,14
PYCR1,12
RBM25,13
RPL14,7
RPL23A,5
RPL27A,5
RPL34,11
RPS17,15
RPS6,12
RPS8,4
S100A11,15
S100B,27
S100P,6
SARNP,5
SDR16C5,19
SERPINH1,7
SH3BGRL3,15
SLC16A3,11
SLC2A1,1
SLMAP,24
SNRPA1,13
SNRPD1,12
SNU13,13
SORBS1,20
SORBS2,20
SRRM2,10
SRRT,14
SSBP1,3
STAT1,6
STMN1,3
STMN2,7
STX7,20
SYNCRIP,13
SYNM,16
SYNPO2,21
TAGLN,21
TAGLN2,13
TAP1,13
TAPBP,4
TARS1,12
TINAGL1,29
TMCO1,13
TMEM123,8
TMEM33,7
TNS1,16
TOMM34,6
TPM1,20
TPM3,16
TUBB2A,25
TUBB2B,26
VCL,22
