,CRC01-N,CRC01-T,CRC02-N,CRC02-T,CRC03-N,CRC03-T,CRC04-N,CRC04-T,CRC05-N,CRC05-T,CRC06-N,CRC06-T,CRC07-N,CRC07-T,CRC08-N,CRC08-T,CRC09-N,CRC09-T,CRC10-N,CRC10-T,CRC11-N,CRC11-T,CRC12-N,CRC12-T,CRC13-N,CRC13-T,CRC14-N,CRC14-T,CRC15-N,CRC15-T,CRC16-N,CRC16-T
CRC01-N,1.0,0.8765000129980245,0.9272034669268121,0.9166699494488219,0.8507850481550484,0.8400801128493253,0.899353258439794,0.8230249778101568,0.796650546969257,0.7849704834285749,0.8029809676879162,0.8091221367130799,0.8751307380431333,0.8936574993966409,0.7689354310386484,0.8256589841790262,0.8308475649422002,0.8406075868760988,0.8292250341330011,0.8655792557218627,0.8151110764162446,0.8444569843513199,0.776408598350191,0.7740961924604818,0.8212353496492584,0.8973919306101719,0.7726621165506665,0.8043152894281191,0.8183674066769104,0.78774482190874,0.839582899962478,0.8989456508351871
CRC01-T,0.8765000129980245,1.0,0.847611154629416,0.8673716859124543,0.798764847155617,0.85491446921399,0.8327276541558573,0.846982894555234,0.7618236268663127,0.7717774935573395,0.7606186202715871,0.8038884960623776,0.84808574064275,0.8805974539777426,0.7761662186062711,0.878335541229382,0.7974496877182164,0.8837073775707701,0.7911659895062901,0.8530289945845207,0.7918797656172164,0.8602312793114544,0.7700613615837623,0.767882907110107,0.8154032243992531,0.9215451355742331,0.7639321274088483,0.8178558348655177,0.7747032837578115,0.7802556882495559,0.808587182771143,0.8719166733635918
CRC02-N,0.9272034669268121,0.847611154629416,1.0,0.92773914436644,0.8521502508959427,0.8460685938678278,0.9073443165305785,0.8324907892389135,0.788233436219451,0.7986248805049754,0.7965873717916341,0.8111997800731333,0.8774262757466027,0.8937030391827913,0.7656376371266224,0.8181948666415404,0.8253040095294552,0.8360373216414081,0.8331516406874381,0.8688356283732775,0.8068957260905506,0.8335613661300723,0.7639344947031329,0.7771790388252354,0.7984331249823496,0.8754739346778199,0.7619928409713834,0.8007919953032886,0.8099920325280431,0.7944195728688559,0.8386116811916815,0.9009083095907158
CRC02-T,0.9166699494488219,0.8673716859124543,0.92773914436644,1.0,0.8074088985452899,0.8780677400223207,0.8805885392154902,0.8630005546492173,0.7505882464211271,0.8199485413702079,0.7600611787964622,0.8259132864725619,0.8503613539242066,0.8999003631698761,0.7179801360266745,0.8286347227172005,0.7758675602790862,0.8344926054508615,0.7754169753431218,0.8832591130493271,0.7570855788162999,0.8593183348248522,0.7358332864309093,0.8085183290061629,0.7611754510440235,0.9031728415940097,0.72672916268057,0.8125338280065207,0.7809968582910889,0.8201730929740217,0.7971883447266165,0.9193789465562284
CRC03-N,0.8507850481550484,0.798764847155617,0.8521502508959427,0.8074088985452899,1.0,0.7660691422086688,0.8619445150148094,0.7363549554299651,0.8527805137144532,0.7179711008911973,0.8476864282208297,0.7488834974213002,0.8700377660501297,0.8345964110252545,0.8850932058228937,0.8168001014190763,0.9241120837574642,0.84366038444847,0.9232037863195807,0.8043054388026809,0.9152071622180762,0.7416319678225071,0.8370466413344156,0.6903299924342075,0.8596806933427837,0.7847806420229331,0.845895930292911,0.7457703547228456,0.8334554825551331,0.7204843662729998,0.9258255291314167,0.820311109123352
CRC03-T,0.8400801128493253,0.85491446921399,0.8460685938678278,0.8780677400223207,0.7660691422086688,1.0,0.8478809877741358,0.9153847721305601,0.7099238060983442,0.8448176213122819,0.7208305047226078,0.8367412059744698,0.84801436055504,0.8812412440174009,0.6793475339681474,0.858731790013469,0.7334488588292902,0.8773486752076266,0.7293513087227007,0.900954426053417,0.726474745119119,0.9090086789073433,0.7061533411961812,0.8571422609759473,0.6871489081885274,0.8745068626987776,0.6914254703863034,0.8293796298475975,0.7576406834363928,0.8453955129737231,0.7477528968491313,0.9104325356485071
CRC04-N,0.899353258439794,0.8327276541558573,0.9073443165305785,0.8805885392154902,0.8619445150148094,0.8478809877741358,1.0,0.8533956902292169,0.8039962298593364,0.8019887736630639,0.8242155392754191,0.828505006599292,0.913329391737542,0.9197017709823928,0.7867417781123597,0.8316266070859322,0.8520395147655245,0.8608615600412602,0.8547071693000347,0.896785442990728,0.8472652474773362,0.8567147983550365,0.7945174550263934,0.7768186020820796,0.7849379488796338,0.8538973855657906,0.7824746215560177,0.8197354545590404,0.8419948043936767,0.8071187774821779,0.8288247690777613,0.8926551863700312
CRC04-T,0.8230249778101568,0.846982894555234,0.8324907892389135,0.8630005546492173,0.7363549554299651,0.9153847721305601,0.8533956902292169,1.0,0.6994751181739348,0.8356553013580772,0.7072151684744646,0.8311828555510562,0.8368508141616473,0.8944268483763146,0.6843730800823751,0.8624577005558896,0.724971048044359,0.8819411344302229,0.7231959989316925,0.8962765896212568,0.7174770347438767,0.9203692370200813,0.6970083820157156,0.841358404251026,0.6752821311040598,0.8605392560500128,0.6835087126624981,0.8294954523911066,0.7415620172822172,0.8359732856751845,0.7271763629146923,0.9004073646515172
CRC05-N,0.796650546969257,0.7618236268663127,0.788233436219451,0.7505882464211271,0.8527805137144532,0.7099238060983442,0.8039962298593364,0.6994751181739348,1.0,0.7888493765945884,0.9311616203653235,0.8262254556445415,0.7971817752092806,0.7854819528900772,0.8401152066813466,0.7628489714896018,0.8574642827857774,0.8003677437010305,0.8631149306162025,0.7629450201935684,0.8502326285619964,0.7048658174933812,0.9167975480965724,0.756315267783409,0.820951000079675,0.7511107389339321,0.9394163923048507,0.8403189569534922,0.9028480141609566,0.7905695844443794,0.8388633012452555,0.7664127059413789
CRC05-T,0.7849704834285749,0.7717774935573395,0.7986248805049754,0.8199485413702079,0.7179711008911973,0.8448176213122819,0.8019887736630639,0.8356553013580772,0.7888493765945884,1.0,0.786526297635744,0.9140709631376404,0.7841503752572497,0.8246365261539277,0.6422058729913541,0.7865084327213139,0.6897344906345324,0.7939344484901073,0.7019688258611038,0.8385172714692051,0.6789125180392789,0.8277208319979004,0.7674564869142934,0.9049344072059253,0.6459038548314964,0.8049271553150023,0.7534987089368624,0.8983169648454471,0.8160658576938128,0.918269402272142,0.6803369858990621,0.826068407203303
CRC06-N,0.8029809676879162,0.7606186202715871,0.7965873717916341,0.7600611787964622,0.8476864282208297,0.7208305047226078,0.8242155392754191,0.7072151684744646,0.9311616203653235,0.786526297635744,1.0,0.8350259494859509,0.8065541266174178,0.7928825511046441,0.8187335009152771,0.7530676916277114,0.857524799906784,0.7915443744549787,0.8606675414410101,0.7737313455901732,0.8530960064023149,0.7132137173179407,0.9058150278287166,0.7501248020706937,0.8112868858167607,0.7607482037636484,0.9113535605099602,0.8420233835345495,0.9156003262806972,0.8069517126129466,0.8383174764089641,0.7726382948983382
CRC06-T,0.8091221367130799,0.8038884960623776,0.8111997800731333,0.8259132864725619,0.7488834974213002,0.8367412059744698,0.828505006599292,0.8311828555510562,0.8262254556445415,0.9140709631376404,0.8350259494859509,1.0,0.8166972481304159,0.853599301170602,0.6843093576270406,0.813165091430694,0.7281707331517606,0.824025178096469,0.7511715956690035,0.8584416690435662,0.7283084314821812,0.8360705681075605,0.8104281312689338,0.8932857468749389,0.6939759114568144,0.826500421091119,0.7993906402009073,0.9240414765782496,0.8645120045458837,0.9166137890700813,0.7215526578944914,0.8464994002828418
CRC07-N,0.8751307380431333,0.84808574064275,0.8774262757466027,0.8503613539242066,0.8700377660501297,0.84801436055504,0.913329391737542,0.8368508141616473,0.7971817752092806,0.7841503752572497,0.8065541266174178,0.8166972481304159,1.0,0.9130026933841616,0.8045665144823033,0.8710805530337464,0.8474637041533498,0.874005312129303,0.8549024709723078,0.8793859924354386,0.8552112005049377,0.846574251453123,0.8072690748385091,0.7555196884688742,0.8046833927967838,0.845103046116274,0.7848666116446839,0.8052350365009898,0.8268133518106345,0.7783955396324058,0.8506843839300819,0.8822576658337905
CRC07-T,0.8936574993966409,0.8805974539777426,0.8937030391827913,0.8999003631698761,0.8345964110252545,0.8812412440174009,0.9197017709823928,0.8944268483763146,0.7854819528900772,0.8246365261539277,0.7928825511046441,0.853599301170602,0.9130026933841616,1.0,0.7759637415057147,0.8847932311918045,0.8221074146239662,0.8928173806381196,0.8270172627806218,0.9188439573573928,0.8132706677431402,0.8820095586243752,0.7868137613495525,0.8043678470340474,0.7839637298440427,0.8923470399908099,0.7735582940547497,0.837518367949358,0.8123285269076689,0.8232541754735135,0.8197794837883695,0.9204649691622634
CRC08-N,0.7689354310386484,0.7761662186062711,0.7656376371266224,0.7179801360266745,0.8850932058228937,0.6793475339681474,0.7867417781123597,0.6843730800823751,0.8401152066813466,0.6422058729913541,0.8187335009152771,0.6843093576270406,0.8045665144823033,0.7759637415057147,1.0,0.7892493908258065,0.9071794086434614,0.8198487485728461,0.8977339039156728,0.7410703379607104,0.8939637248413657,0.6875925007033193,0.837933712886324,0.6241254488836213,0.8803825930621941,0.7323291585718916,0.8523446910946366,0.6996800813461872,0.78163941116954,0.6417209062154614,0.9089382898186128,0.7508294621582989
CRC08-T,0.8256589841790262,0.878335541229382,0.8181948666415404,0.8286347227172005,0.8168001014190763,0.858731790013469,0.8316266070859322,0.8624577005558896,0.7628489714896018,0.7865084327213139,0.7530676916277114,0.813165091430694,0.8710805530337464,0.8847932311918045,0.7892493908258065,1.0,0.7930298876315521,0.9082358166828524,0.8019220422994572,0.8640783311321132,0.7961510355006447,0.8644847656894822,0.7897073855021803,0.7886665267231482,0.7801543486736476,0.8545133658047624,0.7627237632645737,0.8144997423839374,0.7716609611270916,0.7866878504533448,0.8102432009954464,0.8665495650079866
CRC09-N,0.8308475649422002,0.7974496877182164,0.8253040095294552,0.7758675602790862,0.9241120837574642,0.7334488588292902,0.8520395147655245,0.724971048044359,0.8574642827857774,0.6897344906345324,0.857524799906784,0.7281707331517606,0.8474637041533498,0.8221074146239662,0.9071794086434614,0.7930298876315521,1.0,0.8464093134526849,0.9316774596743261,0.8030728094724976,0.927858970938672,0.7346712250607742,0.8477927022984233,0.667398118093779,0.8741717399643039,0.772606394934103,0.8513089669352629,0.7380210496061386,0.8284374247711452,0.7019417359255266,0.9234303147534162,0.7977825839721011
CRC09-T,0.8406075868760988,0.8837073775707701,0.8360373216414081,0.8344926054508615,0.84366038444847,0.8773486752076266,0.8608615600412602,0.8819411344302229,0.8003677437010305,0.7939344484901073,0.7915443744549787,0.824025178096469,0.874005312129303,0.8928173806381196,0.8198487485728461,0.9082358166828524,0.8464093134526849,1.0,0.8405808603507238,0.8863452546907862,0.8386809325919964,0.8792682178454188,0.7944126450363908,0.7996767190811469,0.7959527070720477,0.8553232922548415,0.8000047789764332,0.8330448391296112,0.807349755567095,0.8019272542201239,0.8457586075154855,0.8853384648703541
CRC10-N,0.8292250341330011,0.7911659895062901,0.8331516406874381,0.7754169753431218,0.9232037863195807,0.7293513087227007,0.8547071693000347,0.7231959989316925,0.8631149306162025,0.7019688258611038,0.8606675414410101,0.7511715956690035,0.8549024709723078,0.8270172627806218,0.8977339039156728,0.8019220422994572,0.9316774596743261,0.8405808603507238,1.0,0.8079726486604675,0.9379679233179443,0.7369603744832848,0.8595520076020763,0.6757635925627191,0.8736362663727842,0.7702709132295441,0.8642973017386218,0.7486627072863808,0.8447581335854871,0.7061849909196746,0.9183462559154463,0.7906832360727397
CRC10-T,0.8655792557218627,0.8530289945845207,0.8688356283732775,0.8832591130493271,0.8043054388026809,0.900954426053417,0.896785442990728,0.8962765896212568,0.7629450201935684,0.8385172714692051,0.7737313455901732,0.8584416690435662,0.8793859924354386,0.9188439573573928,0.7410703379607104,0.8640783311321132,0.8030728094724976,0.8863452546907862,0.8079726486604675,1.0,0.7813249399746555,0.9048547970135097,0.7551418574725056,0.8238844536203233,0.7345589870692347,0.8778958997260272,0.7406149993312917,0.8499657093017955,0.7923717157640112,0.8485623832645219,0.7899371037626078,0.9145051223538702
CRC11-N,0.8151110764162446,0.7918797656172164,0.8068957260905506,0.7570855788162999,0.9152071622180762,0.726474745119119,0.8472652474773362,0.7174770347438767,0.8502326285619964,0.6789125180392789,0.8530960064023149,0.7283084314821812,0.8552112005049377,0.8132706677431402,0.8939637248413657,0.7961510355006447,0.927858970938672,0.8386809325919964,0.9379679233179443,0.7813249399746555,1.0,0.7333804613196598,0.8492933480677612,0.6639745571497431,0.8734544110057336,0.7618583565653311,0.8478404432240018,0.7352133176407166,0.8403750482201083,0.6901279800757403,0.9088301817056567,0.7796619071776609
CRC11-T,0.8444569843513199,0.8602312793114544,0.8335613661300723,0.8593183348248522,0.7416319678225071,0.9090086789073433,0.8567147983550365,0.9203692370200813,0.7048658174933812,0.8277208319979004,0.7132137173179407,0.8360705681075605,0.846574251453123,0.8820095586243752,0.6875925007033193,0.8644847656894822,0.7346712250607742,0.8792682178454188,0.7369603744832848,0.9048547970135097,0.7333804613196598,1.0,0.7025087674405984,0.838675405409791,0.6976983324388474,0.8773258958347713,0.6915433192216117,0.8377961002256799,0.7435810305977317,0.8298790594239188,0.7358666510229577,0.8957653990827342
CRC12-N,0.776408598350191,0.7700613615837623,0.7639344947031329,0.7358332864309093,0.8370466413344156,0.7061533411961812,0.7945174550263934,0.6970083820157156,0.9167975480965724,0.7674564869142934,0.9058150278287166,0.8104281312689338,0.8072690748385091,0.7868137613495525,0.837933712886324,0.7897073855021803,0.8477927022984233,0.7944126450363908,0.8595520076020763,0.7551418574725056,0.8492933480677612,0.7025087674405984,1.0,0.7363331662619039,0.8347929947926774,0.7477134302622604,0.9072187719414676,0.8169873057911096,0.8860546656160927,0.7694845614264312,0.8328468043225401,0.7518992676768279
CRC12-T,0.7740961924604818,0.767882907110107,0.7771790388252354,0.8085183290061629,0.6903299924342075,0.8571422609759473,0.7768186020820796,0.841358404251026,0.756315267783409,0.9049344072059253,0.7501248020706937,0.8932857468749389,0.7555196884688742,0.8043678470340474,0.6241254488836213,0.7886665267231482,0.667398118093779,0.7996767190811469,0.6757635925627191,0.8238844536203233,0.6639745571497431,0.838675405409791,0.7363331662619039,1.0,0.62692619805789,0.8005556099875681,0.73242084477322,0.8952188633096718,0.7891814008880631,0.8972324636877087,0.6672182314744863,0.8303185858156337
CRC13-N,0.8212353496492584,0.8154032243992531,0.7984331249823496,0.7611754510440235,0.8596806933427837,0.6871489081885274,0.7849379488796338,0.6752821311040598,0.820951000079675,0.6459038548314964,0.8112868858167607,0.6939759114568144,0.8046833927967838,0.7839637298440427,0.8803825930621941,0.7801543486736476,0.8741717399643039,0.7959527070720477,0.8736362663727842,0.7345589870692347,0.8734544110057336,0.6976983324388474,0.8347929947926774,0.62692619805789,1.0,0.7871231240958307,0.8326745736126617,0.7002689864163792,0.787900071712875,0.647161929012529,0.8886033504368325,0.7700710246015477
CRC13-T,0.8973919306101719,0.9215451355742331,0.8754739346778199,0.9031728415940097,0.7847806420229331,0.8745068626987776,0.8538973855657906,0.8605392560500128,0.7511107389339321,0.8049271553150023,0.7607482037636484,0.826500421091119,0.845103046116274,0.8923470399908099,0.7323291585718916,0.8545133658047624,0.772606394934103,0.8553232922548415,0.7702709132295441,0.8778958997260272,0.7618583565653311,0.8773258958347713,0.7477134302622604,0.8005556099875681,0.7871231240958307,1.0,0.736300747547519,0.8274161973898909,0.775854256096562,0.8101722829165483,0.7834207818907472,0.8981685537095926
