Gene,Type
ABI1,All_Cancer
ACSL6,All_Cancer
AKAP9,All_Cancer
ALDH2,All_Cancer
ATIC,All_Cancer
ATP1A1,All_Cancer
B2M,All_Cancer
CALR,All_Cancer
CARS1,All_Cancer
CDH1,CRC_Specific
CHD4,All_Cancer
CMPK1,All_Cancer
COL1A1,All_Cancer
CTNNA1,All_Cancer
CTNNB1,CRC_Specific
DDX3X,All_Cancer
EIF4A2,All_Cancer
EWSR1,All_Cancer
FUBP1,All_Cancer
HSP90AA1,All_Cancer
HSP90AB1,All_Cancer
IDH1,CRC_Specific
IDH2,CRC_Specific
KRAS,CRC_Specific
MAPK1,All_Cancer
MTOR,All_Cancer
NPM1,All_Cancer
NRAS,CRC_Specific
PPP2R1A,All_Cancer
PTPN11,All_Cancer
RAC1,All_Cancer
RHOA,All_Cancer
SDHB,All_Cancer
SF3B1,All_Cancer
STAT3,All_Cancer
TOP1,All_Cancer
TSC1,All_Cancer
TSC2,All_Cancer
U2AF1,All_Cancer
XPO1,All_Cancer
