Protein,Mean_Normal,Mean_Tumor,Log2FC,T_statistic,P_value,Neg_log10_P,Significant
A1BG,26.306312791357907,25.762909494349778,-0.5434032970081297,-1.5058758272860677,0.14257173934383094,0.8459665520674201,NS
A2M,30.397686800103557,29.631345289347593,-0.7663415107559644,-2.790710305633001,0.009100468678373504,2.040936240734951,NS
AARS1,25.823784069398222,26.74872467791063,0.9249406085124079,5.653002673191428,3.868802775692789e-06,5.412423409232362,NS
ABCE1,26.071614676781838,27.48741656472758,1.4158018879457437,5.886184141204181,2.545653335939676e-06,5.594200738364673,Up
ABCF1,21.672298887086544,22.76587847365427,1.0935795865677242,4.6967296486697,5.5382241174794456e-05,4.256629473470331,Up
ABHD10,23.53728918065811,24.132417877471728,0.5951286968136174,1.9746504475861575,0.05817563692944616,1.2352588531907025,NS
ABHD11,23.88105530843106,25.111437838865832,1.230382530434774,3.7587455782421997,0.0008382852954209924,3.0766081518462123,Up
ABHD14B,25.33690342095236,26.402985025982233,1.066081605029872,3.5069565921773695,0.001573361036217826,2.8031716091974723,Up
ABI1,22.099165705137615,22.879516395241055,0.7803506901034396,1.1334693865140302,0.2662637109049144,0.5746880195455734,NS
ABI3BP,23.580112857664616,23.775276220316584,0.195163362651968,0.67397574720969,0.5065207267924815,0.2954027786404653,NS
ABLIM1,21.794645168176736,22.26250322754529,0.46785805936855596,2.118391167638439,0.04329128767208765,1.3635994961788709,NS
ACAA1,22.9758132402211,25.06412365235066,2.088310412129559,3.0770084368373807,0.0054557460031756135,2.2631458568242655,Up
ACAA2,27.564732683644394,28.19284017458161,0.628107490937218,2.0175778095924173,0.05265818349426363,1.278534126468547,NS
ACAD10,25.335213224817192,23.913810725306995,-1.4214024995101973,-2.660488662880745,0.012566214218815595,1.900795541050404,Down
ACAD9,23.546908167616387,24.523775456081488,0.9768672884651011,1.2811694121054589,0.21181924393887197,0.6740345864532438,NS
ACADS,26.071412067053302,25.509608168797566,-0.5618038982557358,-1.3184424855202457,0.19887161518400584,0.7014271990206269,NS
ACADSB,21.839852325599974,22.9594392252884,1.119586899688425,1.5125814756682592,0.14087705496898,0.8511597358602696,NS
ACADVL,28.06072028543079,28.289250386650494,0.22853010121970385,1.0512925275723624,0.3027115028428656,0.5189710758182328,NS
ACAT1,27.488807450676397,27.405948843175757,-0.08285860750063989,-0.30529769148946473,0.7628738936024899,0.11754724689303606,NS
ACLY,24.726779293997218,26.484448940872877,1.7576696468756587,6.337523138816085,7.826407429490964e-07,6.106437547213016,Up
ACO1,26.349662987049047,26.574578155422742,0.22491516837369474,0.8425598907535665,0.4090759288950243,0.38819607478084195,NS
ACO2,29.31307940496154,29.474720661248035,0.16164125628649373,0.6195601241861384,0.5408995299619371,0.2668833959567629,NS
ACOT13,23.508979626099745,24.537459822055453,1.0284801959557086,2.983238305980672,0.006607819100830329,2.1799418550016205,Up
ACOT7,25.072461382671847,26.511947385129915,1.439486002458068,5.1969625816472105,1.350643075901599e-05,4.869459403491859,Up
ACOX2,26.27039194084846,25.815694497506275,-0.45469744334218376,-0.6820282192384404,0.5013712344207869,0.29984058679322306,NS
ACP1,24.423794004458717,25.728540696745362,1.3047466922866455,4.157209884543169,0.00025581715996846575,3.5920703268250893,Up
ACSF3,19.449441955488737,20.635883127287457,1.1864411717987196,2.4999141043588957,0.018131721985246,1.7415609486249979,Up
ACSL1,23.705806400791865,25.029393097157183,1.323586696365318,3.9448635259196108,0.0005016216797179639,3.299623701885444,Up
ACSL5,22.681029955593342,24.20281948705426,1.521789531460918,2.977802392772764,0.005869104139611394,2.2314281844279287,Up
ACSL6,23.553869348735645,24.876924740576975,1.3230553918413293,3.9605078162447316,0.0004348869729494812,3.3616236014422554,Up
ACSS1,20.04870717551796,22.698492087494188,2.6497849119762265,3.5632087188433275,0.0013669926744626316,2.864233812754036,Up
ACSS2,23.034162716581285,23.40147831737915,0.3673156007978662,0.7751834187014092,0.4459901834499663,0.3506747003022738,NS
ACTA2,31.041245572424167,29.097969969624483,-1.9432756027996838,-4.962612521201665,2.8046404105195096e-05,4.552122812745792,Down
ACTB,34.00469071959186,33.64615838617284,-0.3585323334190207,-2.71015245657925,0.011466533429091558,1.9405678584864898,NS
ACTL6A,22.311664794212597,23.267255304860274,0.9555905106476779,2.4092267193197965,0.022453549394954565,1.6487149971640083,NS
ACTN1,30.518003258040437,29.281123966434535,-1.2368792916059022,-3.20533508787056,0.0038751295581058312,2.4117137730467406,Down
ACTN2,23.86696301245595,25.115848224401816,1.2488852119458649,4.300102098686209,0.00024111520245596337,3.617775406235607,Up
ACTN4,31.42525086860968,31.684218667507793,0.2589677988981123,1.4393280142429143,0.1607951643294413,0.7937270161386768,NS
ACTR1A,25.169408224949443,25.314705471343373,0.14529724639393038,0.6333584649255432,0.5315452313217637,0.274459773703909,NS
ACTR1B,24.90795437250683,25.253341732406838,0.345387359900009,0.8794947136904163,0.3866205263056283,0.4127150923027516,NS
ACTR2,26.981136277886797,28.153001105209004,1.1718648273222065,6.015774105761278,2.7722252353241333e-06,5.557171487449639,Up
ACTR3,27.620659722444515,28.45898985800089,0.8383301355563759,5.720907899825346,6.118526737888929e-06,5.213353137761367,NS
ADAR,21.651828122385904,24.10254898133112,2.450720858945214,6.432056761547854,1.0313297839075544e-06,5.986602440022134,Up
ADD1,24.51011895616437,24.42211748120789,-0.08800147495647792,-0.3935713028611308,0.6969285745826719,0.1568117287227933,NS
ADD3,25.41985927044233,24.904774574193674,-0.5150846962486568,-2.1805809821865774,0.03816491011294565,1.4183357561435834,NS
ADH1B,28.9589211812433,26.091847934263058,-2.867073246980244,-6.5843999898886665,2.3214328200989825e-06,5.634243879855857,Down
ADH1C,27.299508834881536,26.281020625065405,-1.0184882098161303,-1.8082625489560449,0.08523174592620221,1.069398615178788,NS
ADH5,26.87014376834924,26.0959699653845,-0.7741738029647394,-1.8470454966651884,0.0753606459957903,1.1228553874019545,NS
ADRM1,21.31284138434938,24.0936226809636,2.7807812966142187,6.8308019088538945,1.8070030912028152e-07,6.743041104499845,Up
AFG3L2,23.025554089270013,23.49278582375115,0.4672317344811354,1.3287193361739855,0.19418008086954675,0.711795322379229,NS
AGFG2,19.90209932414406,20.63532901660303,0.7332296924589699,1.6482785610112154,0.10992146285189876,0.9589175005876538,NS
AGPAT5,22.819062855415066,24.036025561278834,1.216962705863768,2.208022413658708,0.038111242665487634,1.4189468902736078,Up
