file,size_MB,ms1,ms2,rt_min,rt_max
CRC01-N.mzML,786.6,846,50739,0.0,100.0
CRC01-T.mzML,844.1,847,50818,0.0,100.0
CRC02-N.mzML,755.1,847,50787,0.0,100.0
CRC02-T.mzML,769.1,848,50845,0.0,100.0
CRC03-N.mzML,843.3,850,50991,0.0,100.0
CRC03-T.mzML,835.7,852,51060,0.0,100.0
CRC04-N.mzML,882.8,848,50845,0.0,100.0
CRC04-T.mzML,857.7,848,50853,0.0,100.0
CRC05-N.mzML,893.3,851,51059,0.0,100.0
CRC05-T.mzML,928.2,854,51211,0.0,100.0
CRC06-N.mzML,917.7,852,51063,0.0,100.0
CRC06-T.mzML,911.0,854,51197,0.0,100.0
CRC07-N.mzML,967.0,852,51101,0.0,100.0
CRC07-T.mzML,880.2,849,50900,0.0,100.0
CRC08-N.mzML,868.5,848,50845,0.0,100.0
CRC08-T.mzML,835.0,846,50747,0.0,100.0
CRC09-N.mzML,851.1,847,50796,0.0,100.0
CRC09-T.mzML,866.9,848,50860,0.0,100.0
CRC10-N.mzML,870.1,848,50825,0.0,100.0
CRC10-T.mzML,896.0,851,51013,0.0,100.0
CRC11-N.mzML,877.5,847,50808,0.0,100.0
CRC11-T.mzML,790.1,846,50741,0.0,100.0
CRC12-N.mzML,910.6,851,51003,0.0,100.01
CRC12-T.mzML,885.5,855,51249,0.0,100.0
CRC13-N.mzML,847.0,847,50760,0.0,100.0
CRC13-T.mzML,846.8,848,50874,0.0,100.0
CRC14-N.mzML,823.9,851,51058,0.0,100.0
CRC14-T.mzML,843.4,855,51299,0.0,100.0
CRC15-N.mzML,849.1,852,51109,0.0,100.0
CRC15-T.mzML,859.4,855,51288,0.0,100.0
CRC16-N.mzML,811.3,849,50924,0.0,100.0
CRC16-T.mzML,814.2,851,51023,0.0,100.0
